team,xG,xGoT,xG_per_shot,shots,on_target,goals,saved,missed,off_target,blocked,post,big_chances,xT
France,2.16,1.3,0.114,19.0,9.0,4.0,5.0,6.0,6.0,4.0,0.0,6.0,6.024
England,3.0,2.45,0.158,19.0,11.0,6.0,5.0,2.0,2.0,6.0,0.0,6.0,5.09
